STT,Ten_sp,Gia_moi,Gia_cu,Ten_hang
33,iPhone 11 Pro 256GB Bạc,30.141.000đ,34.990.000đ,iPhone
34,Điện thoại iPhone 11 Pro Max 256GB Bạc,32.990.000đ,37.990.000đ,iPhone
35,Oppo Reno 2F Trắng,4.990.000đ,8.990.000đ,Oppo
36,Samsung Galaxy Z Flip Tím,35.000.000đ,36.000.000đ,Samsung
37,Realme 5 Pro (4GB/128GB) Xanh thảo nguyên,4.990.000đ,5.990.000đ,Realme
38,Điện thoại OPPO Reno3 Trắng,7.290.000đ,8.990.000đ,Oppo
39,Điện thoại Samsung Galaxy Note 10 đen,21.990.000đ,22.990.000đ,Samsung
40,Điện thoại iPhone 11 Pro Max 256GB Xanh lá,32.990.000đ,37.990.000đ,iPhone
41,Samsung Galaxy A01 Đỏ,2.290.000đ,2.790.000đ,Samsung
42,Điện thoại iPhone SE 256GB Đen (2020),15.741.000đ,17.990.000đ,iPhone
43,Điện thoại iPhone 11 128GB Đen,19.490.000đ,23.990.000đ,iPhone
44,REALME 5 TÍM,3.690.000đ,3.990.000đ,Realme
45,Vsmart Star 3 (2GB/16GB) Xanh,1.690.000đ,1.990.000đ,Vsmart
46,Điện thoại iPhone 11 128GB Xanh lá,19.490.000đ,23.990.000đ,iPhone
47,Vivo S1 Pro Trắng Thời Thượng,6.490.000đ,6.990.000đ,Vivo
48,Điện thoại Samsung Galaxy M21 Đen,4.790.000đ,5.490.000đ,Samsung
49,Oppo A9 2020 Xanh,5.190.000đ,6.990.000đ,Oppo
50,Điện thoại iPhone 11 Pro Max 256GB Vàng đồng,32.990.000đ,37.990.000đ,iPhone
51,iPhone 11 Pro 512GB Xanh Lá,31.491.000đ,40.990.000đ,iPhone
52,Samsung Galaxy A01 Đen,2.290.000đ,2.790.000đ,Samsung
53,Điện thoại Vivo Y30 4GB/128GB Trắng,4.690.000đ,4.990.000đ,Vivo
54,Điện thoại Samsung Galaxy A71 Bạc,9.190.000đ,10.490.000đ,Samsung
55,Điện thoại iPhone SE 64GB Đen (2020),10.990.000đ,12.990.000đ,iPhone
56,Điện thoại Vsmart Joy 3 (2GB/32GB) Đen đại dương,2.090.000đ,2.290.000đ,Vsmart
57,Điện thoại iPhone 11 128GB Đen,19.490.000đ,23.990.000đ,iPhone
58,Điện thoại iPhone 11 Pro Max 256GB Xám,32.990.000đ,37.990.000đ,iPhone
59,Điện thoại Vivo Y50 Đen,5.790.000đ,6.290.000đ,Vivo
60,Điện thoại iPhone 11 Pro Max 64GB Xám,28.990.000đ,33.990.000đ,iPhone
